key,description
API_CONTACTS.APP_REPAYMENT_SKIP_PERIOD,Stores all months that are allowed to skip payment such as MARCH APRIL MAY
API_CONTACTS.APP_REPAYMENT_TYPE_CD,Reference key to lookup account repayment type
API_CONTACTS.APP_REQ_BALLOON_AMT,Application Requested Balloon amount
API_CONTACTS.APP_RESIDUAL_DAYS,Application residual days
API_CONTACTS.APP_RESIDUAL_PER,Application  Residual Percentage
API_CONTACTS.APP_RESIDUAL_VAL,Application Residual Value
API_CONTACTS.APP_SALES_TAX_AMT_ESTIMATED,Application Sales Tax Amount Estimated
API_CONTACTS.APP_SALES_TAX_PER_ESTIMATED,Application Sales Tax Percentage Estimated
API_CONTACTS.APP_SECURITY_DEPOSIT_AMT,Application Security Deposit Amount
API_CONTACTS.APP_SIGNING_DT,Application signing date
API_CONTACTS.APP_STMT_CONSOLIDATE_IND,Application statement consolidation indicator
