ACCOUNTS.ACC_ACH_BANK_ROUTING_NBR,The 9-digit ABA number of the ACH bank of the customer
ACCOUNTS.ACC_ACH_BANK_ROUTING_NBR_CUR,The 9-digit ABA number of the ACH bank of the customer. (Current)
ACCOUNTS.ACC_ACH_FEE_IND,ACH fee indicator
ACCOUNTS.ACC_ACH_FEE_IND_CUR,Stores information on current ACH fee indicator
ACCOUNTS.ACC_ACH_IND,Indicates whether the account has been setup for ACH
ACCOUNTS.ACC_ACH_IND_CUR,Indicates whether the account has been setup for ACH (Current)
ACCOUNTS.ACC_ACH_PMT_AMT,Amount of payment used in ACH transaction
ACCOUNTS.ACC_ACH_PMT_AMT_CUR,Amount of payment used in ACH transaction. (Current)
ACCOUNTS.ACC_ACH_PMT_DAY,The day on which debit to ACH will occur
ACCOUNTS.ACC_ACH_PMT_DAY_CUR,The day on which debit to ACH will occur (Current)
ACCOUNTS.ACC_ACH_PMT_FREQ_CD,Reference key to lookup ACH payment frequency such as weekly monthly etc
ACCOUNTS.ACC_ACH_PMT_FREQ_CD_CUR,Reference key to lookup ACH payment frequency such as weekly monthly etc (Current)
ACCOUNTS.ACC_ACH_PROCESS_DT_NEXT,The date on which last ACH processing was done
ACCOUNTS.ACC_ACH_START_DT,The date on which ACH processing started
ACCOUNTS.ACC_ACH_START_DT_CUR,The date on which ACH processing started (Current)
ACCOUNTS.ACC_ACQUISITION_CHARGE_AMT,Rebate acquisition charge amount to be added if early payoff for the account contract
ACCOUNTS.ACC_ACTIVE_DT,The date on which account was activated
ACCOUNTS.ACC_ADS_LIFE,Account ADS Life
ACCOUNTS.ACC_ADV_AMT_LAST,The amount of the  last advance
ACCOUNTS.ACC_ADV_DRAW_END_DT,The end date to draw advance for stage funded loans
ACCOUNTS.ACC_ADV_DT_LAST,The date on which last advance was given
ACCOUNTS.ACC_ADV_INITIAL_MAX,Maximum allowable initial advance amount
ACCOUNTS.ACC_ADV_INITIAL_MIN,Minimum allowable initial advance amount
ACCOUNTS.ACC_ADV_MAX,The maximum allowable advance amount
ACCOUNTS.ACC_ADV_MIN,The minimum allowable advance amount
ACCOUNTS.ACC_ADV_TOLERANCE_AMT,The advance tolerance amount used for accessing overlimit fee
ACCOUNTS.ACC_ADV_TOLERANCE_PER,The advance tolerance percentage used for accessing overlimit fee
ACCOUNTS.ACC_AMT_FINANCED,Total amount financed
ACCOUNTS.ACC_AMT_PD_IN_EXCESS,Account amount paid in excess
ACCOUNTS.ACC_ANN_RUN_DT_NEXT,The effective date of next anniversary run date
ACCOUNTS.ACC_ANNIVERSARY_NO_TERM,Number of terms for anniversary
ACCOUNTS.ACC_APP_DT,The date on which application was received
ACCOUNTS.ACC_APP_NBR,Application number
ACCOUNTS.ACC_APP_PURPOSE_CD,Reference key to lookup application purpose
ACCOUNTS.ACC_APP_SOURCE_CD,Reference key to lookup application source
ACCOUNTS.ACC_APP_STATUS_CD,Reference key to lookup application status such as new approved rejected  etc
ACCOUNTS.ACC_APP_STATUS_CHG_DT_LAST,The date on which the last application status change was done
ACCOUNTS.ACC_APP_SUB_STATUS_CD,Reference key to lookup application sub status such as rehash verified funded  etc
ACCOUNTS.ACC_APR,Annual percentage rate
ACCOUNTS.ACC_AUTO_DIALER_IND,Indicates whether the account in the auto dialer queue
ACCOUNTS.ACC_BACKDATE_DT,The date upto which backdate transaction is allowed
ACCOUNTS.ACC_BALLOON_AMT,Contract balloon payment amount
ACCOUNTS.ACC_BALLOON_AMT_CUR,Current balloon payment amount
ACCOUNTS.ACC_BALLOON_METHOD_CD,Reference key to lookup balloon method such as N or N+1 payments
ACCOUNTS.ACC_BILL_AMT_LAST,Last bill amount
ACCOUNTS.ACC_BILL_CALENDAR_METHOD_CD,Indicates the bill calendar method code
ACCOUNTS.ACC_BILL_CYCLE_CD,Reference key to lookup billing cycle such as weekly monthly etc
ACCOUNTS.ACC_BILL_METHOD_CD,Reference key to lookup billing method level interest only etc
ACCOUNTS.ACC_BILL_PMT_DUE_AMT_MIN,The minimum amount for statements payment due
ACCOUNTS.ACC_BILL_TYPE_CD,Reference key to lookup billing type such as coupon or statement
ACCOUNTS.ACC_BKRP_COMMENT,A user defined comment for bankruptcy
ACCOUNTS.ACC_BKRP_DISPOSITION_CD,Reference key to lookup bankruptcy disposition
ACCOUNTS.ACC_BKRP_DT,The date on which bankruptcy was filed
ACCOUNTS.ACC_BKRP_END_DT,The date on which bankruptcy ended
ACCOUNTS.ACC_BKRP_FILE_RCVD_DT,The date on which bankruptcy file was received
ACCOUNTS.ACC_BKRP_IND,Indicates whether the account is in bankruptcy
ACCOUNTS.ACC_BKRP_NEXT_FOLLOWUP_DT,The date on which next followup is scheduled
ACCOUNTS.ACC_BKRP_TYPE_CD,Reference key to lookup bankruptcy type such as chapter 7 11 13
ACCOUNTS.ACC_BOOK_NO,Account Book Number
ACCOUNTS.ACC_BSR_RUN_DT_NEXT,Indicates the BSR Next Run Date
ACCOUNTS.ACC_BSR_SCORE,Stores the Behavioral Score
ACCOUNTS.ACC_BUSINESS_IND,Indicates if the customer class is Business or not 
ACCOUNTS.ACC_BUYOUT_IND,Indicates the end of the lease buyout option
ACCOUNTS.ACC_CALC_METHOD_CD,Reference key to lookup reason for tax exemption
ACCOUNTS.ACC_CAP_COST_ADJ,Adjusted capitalized cost
ACCOUNTS.ACC_CAP_COST_GRO,Gross capitalized cost
ACCOUNTS.ACC_CAP_COST_RED,Reduction of capitalized cost
ACCOUNTS.ACC_CHBK_AMT,Total amount of chargeback amount
ACCOUNTS.ACC_CHBK_CHGOFF_BASIS_CD,Plan parameter charge off basis code such as Term  Days
ACCOUNTS.ACC_CHBK_CHGOFF_CALC_METHOD_CD,Plan parameter charge off calculation method such as Earned  Percentage
ACCOUNTS.ACC_CHBK_CHGOFF_DAYS,Plan parameter charge off days if the basis code is Days
ACCOUNTS.ACC_CHBK_CHGOFF_PER,Plan parameter charge off percentage if calculation method is Percentage
ACCOUNTS.ACC_CHBK_CHGOFF_TERM,Plan parameter charge off term if basis code is Term
ACCOUNTS.ACC_CHBK_PDOFF_BASIS_CD,Plan parameter paid off basis code such as Term  Days
ACCOUNTS.ACC_CHBK_PDOFF_CALC_METHOD_CD,Plan parameter paid off calculation method such as Earned  Percentage
ACCOUNTS.ACC_CHBK_PDOFF_DAYS,Plan parameter paid off days if the basis code is Days
ACCOUNTS.ACC_CHBK_PDOFF_PER,Plan parameter paid off percentage if calculation method is Percentage
ACCOUNTS.ACC_CHBK_PDOFF_TERM,Plan parameter paid off term if basis code is Term
ACCOUNTS.ACC_CHGOFF_AMT,Total charged off amount
ACCOUNTS.ACC_CHGOFF_COMMENT,A user defined comment for Charged off account
ACCOUNTS.ACC_CHGOFF_DISPOSITION_CD,Reference key to lookup charged off disposition
ACCOUNTS.ACC_CHGOFF_DT,The date on which account was Charged off or deficiency was established
ACCOUNTS.ACC_CHGOFF_END_DT,The date on which account deficiency ended
ACCOUNTS.ACC_CHGOFF_FILE_RCVD_DT,The date on which deficiency file was received
ACCOUNTS.ACC_CHGOFF_IND,Indicates whether the account is Charged off
ACCOUNTS.ACC_CHGOFF_NEXT_FOLLOWUP_DT,The date on which next deficiency followup is scheduled
ACCOUNTS.ACC_CHGOFF_TYPE_CD,Reference key to lookup charged off type
ACCOUNTS.ACC_CLOSE_DT,The date on which account was closed
ACCOUNTS.ACC_CNCL_CSHOT_TRANSMITTAL_NBR,Cancel/Cashout Transmittal Number
ACCOUNTS.ACC_COL1_LTR_JRQ_ID,Reference Key to job request id for collection letter 1
ACCOUNTS.ACC_COL2_LTR_JRQ_ID,Reference Key to job request id for collection letter 2
ACCOUNTS.ACC_COL3_LTR_JRQ_ID,Reference Key to job request id for collection letter 3
ACCOUNTS.ACC_COLLATERAL_TYPE_CD,Reference key to lookup collateral type such as vehicle home etc
ACCOUNTS.ACC_COLLECT_INTEREST_IND,Indicates whether the interest has to be collected or not
ACCOUNTS.ACC_COLLECTOR_USR_CODE,Collector associated with account
ACCOUNTS.ACC_COMP_ADDITIONAL_FACTOR,Define Additional factor by which multiply total compensation
ACCOUNTS.ACC_COMP_AMT,Total Compensation amount
ACCOUNTS.ACC_COMP_AMT_EARNED,Compensation amount earned
ACCOUNTS.ACC_COMP_AMT_PD,Total compensation amount paid
ACCOUNTS.ACC_COMP_AMT_REMAINING,Remaining amount of compensation
ACCOUNTS.ACC_COMP_AMT_UPFRONT,Compensation amount paid upfront
ACCOUNTS.ACC_COMP_AMT_WRITEOFF,Total compensation amount written off
ACCOUNTS.ACC_COMP_CALC_METHOD_CD,Reference key to lookup compensation calculation method such as spread flat etc
ACCOUNTS.ACC_COMP_FACTOR,Define factor by which multiply total compensation
ACCOUNTS.ACC_COMP_FLAT_AMT,The flat amount for the compensation
ACCOUNTS.ACC_COMP_FORMULA_METHOD_CD,Compensation formula method such as Spread  Flat
ACCOUNTS.ACC_COMP_INT_AMT_EARNED,Total interest amount earned
ACCOUNTS.ACC_COMP_LAST_PMT_DT,The date on which last compensation payment was paid
ACCOUNTS.ACC_COMP_MARKUP_PER_MAX,The maximum markup percentage allowed
ACCOUNTS.ACC_COMP_NEXT_PMT_DT,The date on which next compensation payment is scheduled
ACCOUNTS.ACC_COMP_PLAN_UPD_DT_LAST,The date on which last compensation plan revision was done
ACCOUNTS.ACC_COMP_PLAN_UPD_DT_NEXT,The date on which next compensation plan revision will be done
ACCOUNTS.ACC_COMP_REVISE_PLAN_TERM,Compensation plan revision term
ACCOUNTS.ACC_COMP_SPREAD_FORMULA_CD,Reference key to lookup compensation spread formula
ACCOUNTS.ACC_COMP_SPREAD_MAX,The maximum spread allowed
ACCOUNTS.ACC_COMP_STOP_IND,Indicates if compensation calculation for the account is stopped
ACCOUNTS.ACC_COMP_UPFRONT_PER,Percentage of compensation amount paid upfront
ACCOUNTS.ACC_CONTRACT_DT,The date on which contract was booked
ACCOUNTS.ACC_CONTRACT_EXPIRY_LTR_DAYS,Stores the the number of days from the maturity date to generate Lease Expiry Letter.
ACCOUNTS.ACC_CONTRACT_EXPIRY_LTR_JRQ_ID,Reference to number of days from the maturity date to generate Lease Expiry Letter.
ACCOUNTS.ACC_CONTRACT_RCVD_DT,The date on which contract was received
ACCOUNTS.ACC_CONTRACT_VERIFY_BY,Contract verification performed by
ACCOUNTS.ACC_CONTRACT_VERIFY_DT,The date on which contract was verified
ACCOUNTS.ACC_CONVERSION_DT,Indicates the Account Conversion date
ACCOUNTS.ACC_COSIGNED_IND,Indicates whether the application is co-signed
ACCOUNTS.ACC_COUPON_FIRST_PMT_DT,The date on which first payment is expected on the re-ordered coupon book
ACCOUNTS.ACC_COUPON_FIRST_PMT_DT_CUR,The date on which first payment is expected on the re-ordered coupon book (Current)
ACCOUNTS.ACC_COUPON_NOS,Number of coupons for order
ACCOUNTS.ACC_COUPON_NOS_CUR,Number of coupons for order (Current)
ACCOUNTS.ACC_COUPON_ORDER_BY,Identifies coupon ordered by
ACCOUNTS.ACC_COUPON_ORDER_BY_CUR,Identifies coupon ordered by (Current)
ACCOUNTS.ACC_COUPON_ORDER_DT,The date on which coupon book was re-ordered
ACCOUNTS.ACC_COUPON_ORDER_DT_CUR,The date on which coupon book was re-ordered (Current)
ACCOUNTS.ACC_COUPON_ORDER_IND,Indicates whether the coupon has been re-ordered
ACCOUNTS.ACC_COUPON_ORDER_IND_CUR,Indicates whether the coupon has been re-ordered (Current)
ACCOUNTS.ACC_COUPON_START_NO,The starting number of the coupon
ACCOUNTS.ACC_COUPON_START_NO_CUR,The starting number of the coupon (Current)
ACCOUNTS.ACC_CPP_CODE,Reference Key to Compensation plan code
ACCOUNTS.ACC_CR_AVAILABLE,Available credit limit
ACCOUNTS.ACC_CR_CONSUMED,Consumed credit limit
ACCOUNTS.ACC_CR_GRADE_CD,Reference key to lookup credit grade such as A B etc
ACCOUNTS.ACC_CR_HOLD,Credit limit on hold
ACCOUNTS.ACC_CR_LMT,Credit limit(Original)
ACCOUNTS.ACC_CR_LMT_CUR,Credit limit(Current)
ACCOUNTS.ACC_CR_OVERLMT_COUNT_LIFE,Number of times credit overlimit on the life of the account
ACCOUNTS.ACC_CR_OVERLMT_COUNT_ROLL,Number of times credit overlimit for the rolling year (last 12 months)
ACCOUNTS.ACC_CR_OVERLMT_COUNT_YEAR,Number of times credit overlimit in this year of the account
ACCOUNTS.ACC_CR_SCORE,The credit score of the credit application
ACCOUNTS.ACC_CR_SUSPENDED,Suspended credit limit
ACCOUNTS.ACC_CRB_ACC_STATUS_CD,Reference key to lookup credit bureau account status
ACCOUNTS.ACC_CRB_FIRST_DLQ_DT,The date on which the account went delinquent for the first time
ACCOUNTS.ACC_CRB_FULL_PMT_HISTORY,Complete credit bureau payment rating history
ACCOUNTS.ACC_CRB_HIGHEST_BAL_AMT,Highest balance for line of credit accounts for credit bureau reporting
ACCOUNTS.ACC_CRB_PMT_HISTORY,Identifies payment history for credit bureau reporting
ACCOUNTS.ACC_CRB_PMT_HISTORY_DT,Identifies payment history date for credit bureau reporting
ACCOUNTS.ACC_CRB_PMT_RATING_CD,Reference key to lookup credit bureau payment rating
ACCOUNTS.ACC_CRD_RUN_DT_LAST,The last run date of account credit card processing --> Deprecated
ACCOUNTS.ACC_CRD_RUN_DT_NEXT,The next scheduled run date of account credit card processing --> Deprecated
ACCOUNTS.ACC_CRD_START_DT,Account Credit Start Date
ACCOUNTS.ACC_CURE_LETTER_GEN_DAYS,Cure letter generation days
ACCOUNTS.ACC_CURE_LETTER_GEN_DAYS_CUR,Cure letter generation days current
ACCOUNTS.ACC_CURE_LETTER_VALID_DAYS,Cure letter valid days
ACCOUNTS.ACC_CURE_LETTER_VALID_DAYS_CUR,Cure letter valid days current
ACCOUNTS.ACC_CURE_LTR_JRQ_ID,Reference Key to job request id for cure letter
ACCOUNTS.ACC_DCT_DLQ_START_DT,The oldest due date associated to the highest delq category
ACCOUNTS.ACC_DCT_HIGHEST_CATEGORY,The highest delq category for the associated oldest due date
ACCOUNTS.ACC_DDT_RUN_DT_LAST,The effective date of last billing date
ACCOUNTS.ACC_DDT_RUN_DT_NEXT,The effective date of next billing date
ACCOUNTS.ACC_DEED_INPUT_DT,Stores the Deed Input Date
ACCOUNTS.ACC_DEED_RECORDING_DT,Stores the Deed Recording Date
ACCOUNTS.ACC_DEEDING_BOOK_NO,Account Deeding Book Number 
ACCOUNTS.ACC_DEEDING_PAGE_NO,Stores Account Deeding Page Number
ACCOUNTS.ACC_DEEDING_TRANSMITTAL_NO,Stores the Deeding Transmittal Number
ACCOUNTS.ACC_DEFICIENCY_AMT,The amount of the deficiency balance
ACCOUNTS.ACC_DEPRECIATION_METHOD_CD,Account Depreciation Method code
ACCOUNTS.ACC_DEPRECIATION_START_DT,Account Depreciation start date
ACCOUNTS.ACC_DEPRECIATION_VAL,The depreciation value of the asset
ACCOUNTS.ACC_DEPRECIATION_VAL_CUR,Stores the current Depreciation Value.
ACCOUNTS.ACC_DEPRECIATION_VALUE,Account Depreciation value
ACCOUNTS.ACC_DIRECT_DISB_CASA_ACC_NBR,Direct disbursement casa  account number for accounts
ACCOUNTS.ACC_DIRECT_DISB_MODE_CD,Reference key to lookup  account  direct disbursement mode code for accounts
ACCOUNTS.ACC_DIRECT_IND,Indicates whether the application is a direct application
ACCOUNTS.ACC_DLQ_BP_COUNT_LIFE,Number of broken promise count over the life of the contract
ACCOUNTS.ACC_DLQ_BP_COUNT_ROLL,Number of broken promise count for the rolling year (last 12 months)
ACCOUNTS.ACC_DLQ_BP_COUNT_YEAR,Number of broken promise count over this year
ACCOUNTS.ACC_DLQ_CATEGORY,The delinquency category of the account
ACCOUNTS.ACC_DLQ_CATEGORY_METHOD_CD,Reference key to lookup delinquency category method
ACCOUNTS.ACC_DLQ_COUNT0_LIFE,The number of times account is delinquent for < 30 days
ACCOUNTS.ACC_DLQ_COUNT0_LIFE_CONV,The number of times account was delinquent for < 30 days as per conversion
ACCOUNTS.ACC_DLQ_COUNT1_LIFE,The number of times account is delinquent for 30 days or more
ACCOUNTS.ACC_DLQ_COUNT1_LIFE_CONV,The number of times account is delinquent for 30 days or more for conversion
ACCOUNTS.ACC_DLQ_COUNT2_LIFE,The number of times account is delinquent for 60 days or more
ACCOUNTS.ACC_DLQ_COUNT2_LIFE_CONV,The number of times account is delinquent for 60 days or more for conversion
ACCOUNTS.ACC_DLQ_COUNT3_LIFE,The number of times account is delinquent for 90 days or more
ACCOUNTS.ACC_DLQ_COUNT3_LIFE_CONV,The number of times account is delinquent for 90 days or more for conversion
ACCOUNTS.ACC_DLQ_COUNT4_LIFE,The number of times account is delinquent for 120 days or more
ACCOUNTS.ACC_DLQ_COUNT4_LIFE_CONV,The number of times account is delinquent for 120 days or more for conversion
ACCOUNTS.ACC_DLQ_COUNT5_LIFE,The number of times account is delinquent for 150 days or more
ACCOUNTS.ACC_DLQ_COUNT5_LIFE_CONV,The number of times account was delinquent for 150 days or more as per conversion
ACCOUNTS.ACC_DLQ_COUNT6_LIFE,The number of times account is delinquent for 180 days or more
ACCOUNTS.ACC_DLQ_COUNT6_LIFE_CONV,The number of times account was delinquent for 180 days or more as per conversion
ACCOUNTS.ACC_DLQ_DAYS,Number of days account is currently delinquent
ACCOUNTS.ACC_DLQ_DT,The date on which the account went delinquent
ACCOUNTS.ACC_DLQ_GRACE_DAYS,Number of grace days for account to be in delinquent condition
ACCOUNTS.ACC_DLQ_IND,Indicates whether the account is delinquent
ACCOUNTS.ACC_DLQ_NEXT_FOLLOWUP_DT,The date on which delinquency followup is scheduled
ACCOUNTS.ACC_DLQ_NSF_COUNT_LIFE,Number of NSF count over the life of the contract
ACCOUNTS.ACC_DLQ_NSF_COUNT_ROLL,Number of NSF count for the rolling year (last 12 months)
ACCOUNTS.ACC_DLQ_NSF_COUNT_YEAR,Number of NSF count over this year
ACCOUNTS.ACC_DLY_RUN_DT_NEXT,The date on which next delay fee processing will be done
ACCOUNTS.ACC_DRAW_END_RESCHEDULE_IND,Reschedule at the end of Draw Period
ACCOUNTS.ACC_DRAW_TERM,Number of term draw period is allowed
ACCOUNTS.ACC_DRAW_TERM_BILL_METHOD_CD,Reference key to lookup billing method such as level interest only etc
ACCOUNTS.ACC_DRAW_TERM_BILLING_IND,Indicates whether or not the billing allowed for stage funding period
ACCOUNTS.ACC_DRAW_TERM_LATE_CHARGE_IND,Indicates whether late charge is allowed for stage funding period
ACCOUNTS.ACC_DRAW_TERM_PMT_AMT,The payment amount during draw term
ACCOUNTS.ACC_DRAW_TERM_PMT_PER,The payment percentage during draw term
ACCOUNTS.ACC_DRAW_TERM_RATE,Stores the rate at the time of stage funding
ACCOUNTS.ACC_DUE_AMT_PD_EXCESS,Total amount paid against future due dates
ACCOUNTS.ACC_DUE_AMT_PD1,1 cycle old due amount paid
ACCOUNTS.ACC_DUE_AMT_PD2,2 cycle old due amount paid
ACCOUNTS.ACC_DUE_AMT_PD3,3 cycle old due amount paid
ACCOUNTS.ACC_DUE_AMT_PD4,4 cycle old due amount paid
ACCOUNTS.ACC_DUE_AMT_PD5,5 cycle old due amount paid
ACCOUNTS.ACC_DUE_AMT1,1 cycle old due amount
ACCOUNTS.ACC_DUE_AMT2,2 cycle old due amount
ACCOUNTS.ACC_DUE_AMT3,3 cycle old due amount
ACCOUNTS.ACC_DUE_AMT4,4 cycle old due amount
ACCOUNTS.ACC_DUE_AMT5,5 cycle old due amount
ACCOUNTS.ACC_DUE_CAT1,Delinquency category of 1 cycle old due date
ACCOUNTS.ACC_DUE_CAT2,Delinquency category of 2 cycle old due date
ACCOUNTS.ACC_DUE_CAT3,Delinquency category of 3 cycle old due date
ACCOUNTS.ACC_DUE_CAT4,Delinquency category of 4 cycle old due date
ACCOUNTS.ACC_DUE_CAT5,Delinquency category of 5 cycle old due date
ACCOUNTS.ACC_DUE_DAY,The due day of the account at time of contract
ACCOUNTS.ACC_DUE_DAY_CHG_DT_LAST,The date on which due date change was done last
ACCOUNTS.ACC_DUE_DAY_COUNT_LIFE,Number of due date change count over the life of the contract
ACCOUNTS.ACC_DUE_DAY_COUNT_ROLL,Number of due date change count for the rolling year (last 12 months)
ACCOUNTS.ACC_DUE_DAY_COUNT_YEAR,Number of due date change count over this year
ACCOUNTS.ACC_DUE_DAY_CUR,The current due day of the account
ACCOUNTS.ACC_DUE_DAY_MAX,The maximum due day allowed for the account
ACCOUNTS.ACC_DUE_DAY_MAX_DAYS,The maximum number of due day change allowed
ACCOUNTS.ACC_DUE_DAY_MAX_NO_LIFE,Number of due date change allowed over the life of the contract
ACCOUNTS.ACC_DUE_DAY_MAX_NO_YEAR,Number of due date change over this year
ACCOUNTS.ACC_DUE_DAY_MIN,The minimum due day allowed for the account
ACCOUNTS.ACC_DUE_DLQ_AMT,Total delinquent amount of the account
ACCOUNTS.ACC_DUE_DT_NEXT,The date on which the next payment is due
ACCOUNTS.ACC_DUE_DT_OLDEST,The date on which the oldest payment is due
ACCOUNTS.ACC_DUE_DT1,1 cycle old due date
ACCOUNTS.ACC_DUE_DT2,2 cycle old due date
ACCOUNTS.ACC_DUE_DT3,3 cycle old due date
ACCOUNTS.ACC_DUE_DT4,4 cycle old due date
ACCOUNTS.ACC_DUE_DT5,5 cycle old due date
ACCOUNTS.ACC_DUE_ESC_AMT,The escrow amount due for the account
ACCOUNTS.ACC_DUE_LATE_CHARGE_AMT,The late charge amount due
ACCOUNTS.ACC_DUE_NSF_AMT,The NSF amount due
ACCOUNTS.ACC_DUE_OTHER_AMT,The other amount due
ACCOUNTS.ACC_DUE_TOTAL_AMT,The total due amount
ACCOUNTS.ACC_EARLY_PRE_PMT_PENALTY_IND,Indicates if early repayment fee can be charged
ACCOUNTS.ACC_EFFECTIVE_DT,The date on which the account become effective
ACCOUNTS.ACC_EOT_VALUE,EOT Value
ACCOUNTS.ACC_ESC_AMT_PD,Total escrow amount paid
ACCOUNTS.ACC_ESC_ANALYSIS_CD_LAST,The escrow analysis code for the last escrow analysis
ACCOUNTS.ACC_ESC_ANALYSIS_REQD_IND,Identifies that escrow analysis is required for the account
ACCOUNTS.ACC_ESC_ANALYSIS_RUN_DT_LAST,The latest date on which escrow analysis was done for the account
ACCOUNTS.ACC_ESC_ANALYSIS_RUN_DT_NEXT,The next processing date to do escrow analysis for the account
ACCOUNTS.ACC_ESC_BAL,Current posted escrow balance for the account
ACCOUNTS.ACC_ESC_BAL_ADJUST_MINUS,Negative adjustment escrow balance (ITD)
ACCOUNTS.ACC_ESC_BAL_ADJUST_MINUS_YTD,Negative adjustment escrow balance (YTD) for the current year
ACCOUNTS.ACC_ESC_BAL_ADJUST_MINUS_YTD1,Negative adjustment escrow balance (YTD) for the previous year
ACCOUNTS.ACC_ESC_BAL_ADJUST_PLUS,Positive adjustment escrow balance (ITD)
ACCOUNTS.ACC_ESC_BAL_ADJUST_PLUS_YTD,Positive adjustment escrow balance (YTD) for the current year
ACCOUNTS.ACC_ESC_BAL_ADJUST_PLUS_YTD1,Positive adjustment escrow balance (YTD) for the previous year
ACCOUNTS.ACC_ESC_BAL_OPEN,Opening escrow balance (ITD)
ACCOUNTS.ACC_ESC_BAL_OPEN_YTD,Opening escrow balance (YTD) for the current year
ACCOUNTS.ACC_ESC_BAL_OPEN_YTD1,Opening escrow balance (YTD) for the previous year
ACCOUNTS.ACC_ESC_BAL_PD,Escrow balance paid (ITD)
ACCOUNTS.ACC_ESC_BAL_PD_YTD,Escrow balance paid (YTD) in the current year
ACCOUNTS.ACC_ESC_BAL_PD_YTD1,Escrow balance paid (YTD) in the previous year
ACCOUNTS.ACC_ESC_BAL_YTD,Posted escrow balance (YTD) for the current year
ACCOUNTS.ACC_ESC_BAL_YTD1,Posted escrow balance (YTD) for the previous year
ACCOUNTS.ACC_ESC_CUSHION_PMT_AMT,Escrow cushion payment amount for the account
ACCOUNTS.ACC_ESC_CUSHION_PMT_AMT_CUR,Escrow cushion payment current amount for the account
ACCOUNTS.ACC_ESC_DUE_AMT_PD_EXCESS,Total escrow amount paid against future due dates
ACCOUNTS.ACC_ESC_DUE_AMT_PD1,Escrow Due amount 1 cycle old paid
ACCOUNTS.ACC_ESC_DUE_AMT_PD2,Escrow Due amount 2 cycle old paid
ACCOUNTS.ACC_ESC_DUE_AMT_PD3,Escrow Due amount 3 cycle old paid
ACCOUNTS.ACC_ESC_DUE_AMT_PD4,Escrow Due amount 4 cycle old paid
ACCOUNTS.ACC_ESC_DUE_AMT_PD5,Escrow Due amount 5 cycle old paid
ACCOUNTS.ACC_ESC_DUE_AMT1,Escrow Due amount 1 cycle old
ACCOUNTS.ACC_ESC_DUE_AMT2,Escrow Due amount 2 cycle old
ACCOUNTS.ACC_ESC_DUE_AMT3,Escrow Due amount 3 cycle old
ACCOUNTS.ACC_ESC_DUE_AMT4,Escrow Due amount 4 cycle old
ACCOUNTS.ACC_ESC_DUE_AMT5,Escrow Due amount 5 cycle old
ACCOUNTS.ACC_ESC_INT_ACCRUAL_DT_LAST,The date on which the last escrow interest accrual was done
ACCOUNTS.ACC_ESC_INT_ACCRUAL_DT_NEXT,The date on which the next escrow interest accrual will be done
ACCOUNTS.ACC_ESC_INT_RECEIVED_AMT,Posted interest amount on escrow balances(ITD)
ACCOUNTS.ACC_ESC_INT_RECEIVED_AMT_YTD,Posted interest amount on escrow balances (YTD) for the current year
ACCOUNTS.ACC_ESC_INT_RECEIVED_AMT_YTD1,Posted interest amount on escrow balances (YTD) for the previous year
ACCOUNTS.ACC_ESC_OPT_OUT_IND,Indicates whether escrow is opted out (original)
ACCOUNTS.ACC_ESC_OPT_OUT_IND_CUR,Indicates whether escrow is opted out (current)
