key,description
API_CUSTOMERS_PRIMARY.APE_ADDRESS2,APE_ADDRESS2 Second line of address for this location of employment
API_CUSTOMERS_PRIMARY.APE_ZIP,APE_ZIP 5 Digit Zip Code of employer address
API_CUSTOMERS_PRIMARY.APE_CITY,APE_CITY City name of address
API_CUSTOMERS_PRIMARY.APE_STATE_CD,APE_STATE_CD State code where employment is located
API_CUSTOMERS_PRIMARY.APE_ZIP_EXTN,APE_ZIP_EXTN Last 4 digits of Zip Code of employer address
API_CUSTOMERS_PRIMARY.APE_COUNTRY_CD,APE_COUNTRY_CD Stores country code for PRIMARY applicant employment address
API_CUSTOMERS_PRIMARY.APE_PHONE,APE_PHONE Phone number of employer
API_CUSTOMERS_PRIMARY.APE_PHONE_EXTN,APE_PHONE_EXTN Phone number extension of employer
API_CUSTOMERS_PRIMARY.APE_COMMENT,APE_COMMENT Comments about applicant address
API_CUSTOMERS_PRIMARY.APT_MOBILE_NUMBER,APT_MOBILE_NUMBER The mobile number of the primary customer
API_CUSTOMERS_PRIMARY.APT_FAX_NUMBER,APT_FAX_NUMBER The fax number of the primary customer
API_CUSTOMERS_PRIMARY.APT_PAGER_NUMBER,APT_PAGER_NUMBER The pager number of the primary customer
API_CUSTOMERS_PRIMARY.APL_ETHNIC_CD,APL_ETHNIC_CD Ethnic Code
API_CUSTOMERS_PRIMARY.APA_COUNTRY_CD,APA_COUNTRY_CD Stores country code for PRIMARY applicant address
API_CUSTOMERS_PRIMARY.APE_COUNTRY_CD,APE_COUNTRY_CD Stores country code for PRIMARY applicant employment address
API_CUSTOMERS_PRIMARY.APE_EMPLOYMENT_TYPE_CD,APE_EMPLOYMENT_TYPE_CD Type of the employment such as full time  part time
API_CUSTOMERS_PRIMARY.APE_STREET_NAME,APE_STREET_NAME Street Name
API_CUSTOMERS_PRIMARY.APE_APT_STE_NBR,APE_APT_STE_NBR Apartment Number
API_CUSTOMERS_PRIMARY.APE_ADDRESS_NBR,APE_ADDRESS_NBR Street number of address for this location
API_CUSTOMERS_PRIMARY.APA_STREET_NAME,APA_STREET_NAME Name of street where address is located
API_CUSTOMERS_PRIMARY.APA_APT_STE_NBR,APA_APT_STE_NBR Apartment or suite number of address
API_CUSTOMERS_PRIMARY.APA_ADDRESS_NBR,APA_ADDRESS_NBR Numeric portion of address location
API_CUSTOMERS_PRIMARY.APL_SALUTATION_TYPE_CD,APL_SALUTATION_TYPE_CD Salutation
API_CUSTOMERS_PRIMARY.APL_CHRISTIAN_NAME,APL_CHRISTIAN_NAME Applicant Initials
API_CUSTOMERS_PRIMARY.APL_MAIDEN_MI_NAME,APL_MAIDEN_MI_NAME Applicant Middle Initial
API_CUSTOMERS_PRIMARY.APL_MAIDEN_NAME,APL_MAIDEN_NAME Applicant Maiden Name
API_CUSTOMERS_PRIMARY.APL_FULL_NAME,APL_FULL_NAME Applicant Full Name
API_CUSTOMERS_PRIMARY.APL_PERMIT_TO_STAY_CD,APL_PERMIT_TO_STAY_CD Permission to Stay in the Country
API_CUSTOMERS_PRIMARY.APL_PERMIT_TO_WORK_CD,APL_PERMIT_TO_WORK_CD Permission to Work in the Country
API_CUSTOMERS_PRIMARY.APL_SPECIALITY_TYPE_CD,APL_SPECIALITY_TYPE_CD Special Condition for Applicant
API_CUSTOMERS_PRIMARY.APL_EXISTING_CIF,APL_EXISTING_CIF Existing applicant CIF
API_CUSTOMERS_PRIMARY.APL_PASSPORT_NBR,APL_PASSPORT_NBR Passport number of customer
API_CUSTOMERS_PRIMARY.APL_PASSPORT_ISSUE_DT,APL_PASSPORT_ISSUE_DT Passport Issue date of customer
API_CUSTOMERS_PRIMARY.APL_PASSPORT_EXPIRY_DT,APL_PASSPORT_EXPIRY_DT Passport expiry date of customer
API_CUSTOMERS_PRIMARY.APL_MSG_PREFERENCE,APL_MSG_PREFERENCE Stores the Message reference
API_CUSTOMERS_PRIMARY.APL_NATIONAL_ID,APL_NATIONAL_ID National ID of applicant
API_CUSTOMERS_PRIMARY.APA_LANDMARK,APA_LANDMARK Landmark near address
API_CUSTOMERS_PRIMARY.APA_ADDRESS3,APA_ADDRESS3 Address Line 3
API_CUSTOMERS_PRIMARY.APE_DEPARTMENT,APE_DEPARTMENT Stores the department
API_CUSTOMERS_PRIMARY.APE_EMPLOYEE_ID,APE_EMPLOYEE_ID Stores the Employee ID
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE1,ALT_FTA_TABLE_ATTRIBUTE1 Name of the unit tracking attribute parameter1
API_CUSTOMERS_PRIMARY.ALT_VALUE1,ALT_VALUE1 Value1
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE2,ALT_FTA_TABLE_ATTRIBUTE2 Name of the unit tracking attribute parameter2
API_CUSTOMERS_PRIMARY.ALT_VALUE2,ALT_VALUE2 Value2
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE3,ALT_FTA_TABLE_ATTRIBUTE3 Name of the unit tracking attribute parameter3
API_CUSTOMERS_PRIMARY.ALT_VALUE3,ALT_VALUE3 Value3
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE4,ALT_FTA_TABLE_ATTRIBUTE4 Name of the unit tracking attribute parameter4
API_CUSTOMERS_PRIMARY.APL_VISA_NBR,APL_VISA_NBR Primary visa number
API_CUSTOMERS_PRIMARY.APL_NATIONALITY_CD,APL_NATIONALITY_CD Primary Nationality code
API_CUSTOMERS_PRIMARY.APL_EDUCATION_LEVEL_CD,APL_EDUCATION_LEVEL_CD Primary Applicant education level code
API_CUSTOMERS_PRIMARY.APA_CONFIRMED_IND,APA_CONFIRMED_IND Indicates if the address is confirmed or not
API_CUSTOMERS_PRIMARY.APT_TIME_ZONE_CD,APT_TIME_ZONE_CD  Stores the Timezone of the primary customer
API_CUSTOMERS_PRIMARY.APL_SCRA_IND,APL_SCRA_IND Stores the scra Indicator
API_CUSTOMERS_PRIMARY.APL_SCRA_EFFECTIVE_DT,APL_SCRA_EFFECTIVE_DT Stores the scra effective date
API_CUSTOMERS_PRIMARY.APL_SCRA_ORDER_REF_NBR,APL_SCRA_ORDER_REF_NBR Stores the scra order reference number
API_CUSTOMERS_PRIMARY.APL_SCRA_RELEASED_DT,APL_SCRA_RELEASED_DT Stores the scra released date
API_CUSTOMERS_PRIMARY.APL_PA_ADDRESS,APL_PA_ADDRESS Address
API_CUSTOMERS_PRIMARY.APL_KYC_REF_NBR,APL_KYC_REF_NBR Applicant  know your customer reference number
API_CUSTOMERS_PRIMARY.APL_KYC_STATUS_CD,APL_KYC_STATUS_CD Status Code
API_CUSTOMERS_PRIMARY.APL_LIAB_NBR,APL_LIAB_NBR Applicant liability number
API_CUSTOMERS_PRIMARY.APL_BIRTH_PLACE,APL_BIRTH_PLACE Birth Place
API_CUSTOMERS_PRIMARY.APL_BIRTH_COUNTRY_CD,APL_BIRTH_COUNTRY_CD Country Code
API_CUSTOMERS_PRIMARY.APL_US_RES_IND,APL_US_RES_IND Indicates whether the US Resident is currently enabled
API_CUSTOMERS_PRIMARY.APL_CUSTOMER_CATEGORY_CD,APL_CUSTOMER_CATEGORY_CD Customer Category Code
API_CUSTOMERS_PRIMARY.APL_PA_ISSUED_IND,APL_PA_ISSUED_IND Indicates whether the payee issued is currently enabled
API_CUSTOMERS_PRIMARY.APL_PA_HOLDER_NAME,APL_PA_HOLDER_NAME Holder Name
API_CUSTOMERS_PRIMARY.APL_PA_HOLDER_ADR_CNTRY_CD,APL_PA_HOLDER_ADR_CNTRY_CD Applicant Personal  holder  address country code
API_CUSTOMERS_PRIMARY.APL_PA_HOLDER_NATIONALITY_CD,APL_PA_HOLDER_NATIONALITY_CD unique Applicant Nationality code
API_CUSTOMERS_PRIMARY.APL_PA_HOLDER_PHONE,APL_PA_HOLDER_PHONE Holder Phone Number
API_CUSTOMERS_PRIMARY.APA_PHONE_ISD_CD,APA_PHONE_ISD_CD Phone ISD code for  Api_Customers_Primary
API_CUSTOMERS_PRIMARY.APE_PHONE_ISD_CD,APE_PHONE_ISD_CD Phone ISD code
API_CUSTOMERS_PRIMARY.APT_PHONE_ISD_CD,APT_PHONE_ISD_CD Phone ISD Code
API_CUSTOMERS_PRIMARY.APL_PA_HOLDER_PHONE_ISD_CD,APL_PA_HOLDER_PHONE_ISD_CD  Phone ISD code
API_CUSTOMERS_PRIMARY.APT_PHONE,APT_PHONE Phone number
API_CUSTOMERS_PRIMARY.APT_PHONE_EXTN,APT_PHONE_EXTN Phone Extension
API_CUSTOMERS_PRIMARY.APT_TELECOM_TYPE_CD,APT_TELECOM_TYPE_CD Type of the telecom such as pager
API_CUSTOMERS_PRIMARY.APE_ACTUAL_PAY_DAY_DT,APE_ACTUAL_PAY_DAY_DT Actual pay day date of the primary applicants employment for conversion.
API_CUSTOMERS_PRIMARY.APA_CUR_CURRENCY_CODE,APA_CUR_CURRENCY_CODE Refers to the current currency code
API_CUSTOMERS_PRIMARY.APE_CUR_CURRENCY_CODE,APE_CUR_CURRENCY_CODE Refers to the current currency code
API_CUSTOMERS_PRIMARY.APE_STATED_PAY_DAY_DT,APE_STATED_PAY_DAY_DT Stated pay date
API_CUSTOMERS_PRIMARY.APA_CUR_CURRENCY_CODE,APA_CUR_CURRENCY_CODE Refers to the current currency code
API_CUSTOMERS_PRIMARY.APE_CUR_CURRENCY_CODE,APE_CUR_CURRENCY_CODE Refers to the current currency code
API_CUSTOMERS_PRIMARY.APE_STATED_PAY_DAY_DT,APE_STATED_PAY_DAY_DT Stated pay date
API_CUSTOMERS_PRIMARY.APL_PAH_HIERARCHY_CODE,APL_PAH_HIERARCHY_CODE Payment Hierarchy Code
API_CUSTOMERS_PRIMARY.APL_SHARE_CREDIT_INFO_IND,APL_SHARE_CREDIT_INFO_IND Share Credit Opt Out Indicator
API_CUSTOMERS_PRIMARY.APL_SKIP_IND,APL_SKIP_IND Indicates if current address for business applicant is not valid
API_CUSTOMERS_PRIMARY.APL_DECEASED_DT,APL_DECEASED_DT Deceased date of customer
API_CUSTOMERS_PRIMARY.APL_STOP_CORR_IND,APL_STOP_CORR_IND Indicates if customer correspondence must be stopped
API_CUSTOMERS_PRIMARY.APL_PRIVACY_OPT_OUT_IND,APL_PRIVACY_OPT_OUT_IND Indicates if business applicant has opted out to share privacy information
API_CUSTOMERS_PRIMARY.APL_UPDATE_CUSTOMER_INFO_IND,APL_UPDATE_CUSTOMER_INFO_IND Customer override indicator
API_CUSTOMERS_PRIMARY.APL_CREDIT_SCORE,APL_CREDIT_SCORE Archive:Credit score value
API_CUSTOMERS_PRIMARY.APL_CREDIT_SCORE_RECEIVED_DT,APL_CREDIT_SCORE_RECEIVED_DT Credit score received date.
API_CUSTOMERS_PRIMARY.APL_CREDIT_SOURCE_CD,APL_CREDIT_SOURCE_CD Reference to Credit source code
API_CUSTOMERS_PRIMARY.APL_COMMENTS,APL_COMMENTS Customer Comments
API_CUSTOMERS_PRIMARY.APL_REASON_CD,APL_REASON_CD Customer Reason code
API_CUSTOMERS_PRIMARY.APL_REFERENCE_NBR,APL_REFERENCE_NBR Reference Number
API_CUSTOMERS_PRIMARY.APL_SKIP_IND,APL_SKIP_IND Indicates if current address for business applicant is not valid
API_CUSTOMERS_PRIMARY.APL_SHARE_CR_OPT_OUT_IND,APL_SHARE_CR_OPT_OUT_IND Staging :  Share Credit Opt Out Indicator
API_CUSTOMERS_PRIMARY.APL_UPDATE_CUSTOMER_INFO_IND,APL_UPDATE_CUSTOMER_INFO_IND Customer override indicator
API_CUSTOMERS_PRIMARY.APL_UTILIZATION_PERC,APL_UTILIZATION_PERC Stores the applicant credit limit utilization percentage
API_CUSTOMERS_PRIMARY.APT_PERMISSION_TO_CALL_IND,APT_PERMISSION_TO_CALL_IND Indicates Applicant telecom Permission to call
API_CUSTOMERS_PRIMARY.APT_PERMISSION_TO_TEXT_IND,APT_PERMISSION_TO_TEXT_IND Indicates Applicant telecom Permission to text
API_CUSTOMERS_PRIMARY.CREATED_BY,CREATED_BY Standard Who
API_CUSTOMERS_PRIMARY.CREATION_DATE,CREATION_DATE Standard Who
API_CUSTOMERS_PRIMARY.APA_PERMISSION_TO_CALL_IND,APA_PERMISSION_TO_CALL_IND Indicates Applicant address Permission to call
API_CUSTOMERS_PRIMARY.APA_PERMISSION_TO_TEXT_IND,APA_PERMISSION_TO_TEXT_IND Indicates Applicant address Permission to text
API_CUSTOMERS_PRIMARY.APE_PERMISSION_TO_CALL_IND,APE_PERMISSION_TO_CALL_IND Indicates Applicant employment Permission to call
API_CUSTOMERS_PRIMARY.APE_PERMISSION_TO_TEXT_IND,APE_PERMISSION_TO_TEXT_IND Indicates Applicant employment Permission to text
API_CUSTOMERS_PRIMARY.APL_COMMENTS,APL_COMMENTS Customer Comments
API_CUSTOMERS_PRIMARY.APL_CREDIT_SCORE,APL_CREDIT_SCORE Archive:Credit score value
API_CUSTOMERS_PRIMARY.APL_CREDIT_SCORE_RECEIVED_DT,APL_CREDIT_SCORE_RECEIVED_DT Credit score received date.
API_CUSTOMERS_PRIMARY.APL_CREDIT_SOURCE_CD,APL_CREDIT_SOURCE_CD Reference to Credit source code
API_CUSTOMERS_PRIMARY.APL_CRED_LIMIT_EXPIRY_DT,APL_CRED_LIMIT_EXPIRY_DT Business applicant credit limit expiry date
API_CUSTOMERS_PRIMARY.APL_CRED_LIMIT_GRADE_CD,APL_CRED_LIMIT_GRADE_CD Reference key to lookup credit limit grade code 
API_CUSTOMERS_PRIMARY.APL_CRED_LIMIT_MAX_AMT,APL_CRED_LIMIT_MAX_AMT Stores the maximum credit limit amount
API_CUSTOMERS_PRIMARY.APL_CRED_LIMIT_MAX_LC_RATE,APL_CRED_LIMIT_MAX_LC_RATE Stores the credit limit maximum Late Charge rate
API_CUSTOMERS_PRIMARY.APL_CRED_LIMIT_RENEW_DT,APL_CRED_LIMIT_RENEW_DT Business applicant credit limit renew date
API_CUSTOMERS_PRIMARY.APL_CUS_NBR,APL_CUS_NBR Reference Number for Customer
API_CUSTOMERS_PRIMARY.APL_DECEASED_DT,APL_DECEASED_DT Deceased date of customer
API_CUSTOMERS_PRIMARY.APL_INSURANCE_OPT_OUT_IND,APL_INSURANCE_OPT_OUT_IND Applicant Insurance Opt Out Indicator
API_CUSTOMERS_PRIMARY.APL_MARKETING_OPT_OUT_IND,APL_MARKETING_OPT_OUT_IND Applicant Marketing Opt Out Indicator
API_CUSTOMERS_PRIMARY.APL_PRIVACY_OPT_OUT_IND,APL_PRIVACY_OPT_OUT_IND Indicates if business applicant has opted out to share privacy information
API_CUSTOMERS_PRIMARY.APL_REASON_CD,APL_REASON_CD Customer Reason code
API_CUSTOMERS_PRIMARY.APL_REFERENCE_NBR,APL_REFERENCE_NBR Reference Number
API_CUSTOMERS_PRIMARY.APL_SHARE_CREDIT_INFO_IND,APL_SHARE_CREDIT_INFO_IND Share Credit Opt Out Indicator
API_CUSTOMERS_PRIMARY.APL_STOP_CORR_IND,APL_STOP_CORR_IND Indicates if customer correspondence must be stopped
