key,description
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_FREQ_CD1,ABA_AMORTIZE_FREQ_CD1 Stores the amortization frequency -1 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_FREQ_CD2,ABA_AMORTIZE_FREQ_CD2 Stores the amortization frequency -2 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_FREQ_CD3,ABA_AMORTIZE_FREQ_CD3 Stores the amortization frequency -3 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_FREQ_CD4,ABA_AMORTIZE_FREQ_CD4 Stores the amortization frequency -4 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_FREQ_CD5,ABA_AMORTIZE_FREQ_CD5 Stores the amortization frequency -5 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_START_DT1,ABA_AMORTIZE_START_DT1 Stores the amortization start date -1 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_START_DT2,ABA_AMORTIZE_START_DT2 Stores the amortization start date -2 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_START_DT3,ABA_AMORTIZE_START_DT3 Stores the amortization start date -3 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_START_DT4,ABA_AMORTIZE_START_DT4 Stores the amortization start date -4 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_START_DT5,ABA_AMORTIZE_START_DT5 Stores the amortization start date -5 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FIRST_AMORTIZE_DT1,ABA_FIRST_AMORTIZE_DT1 Stores the first amortization date-1 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FIRST_AMORTIZE_DT2,ABA_FIRST_AMORTIZE_DT2 Stores the first amortization date-2 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FIRST_AMORTIZE_DT3,ABA_FIRST_AMORTIZE_DT3 Stores the first amortization date-3 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FIRST_AMORTIZE_DT4,ABA_FIRST_AMORTIZE_DT4 Stores the first amortization date-4 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FIRST_AMORTIZE_DT5,ABA_FIRST_AMORTIZE_DT5 Stores the first amortization date-5 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_END_DT1,ABA_AMORTIZE_END_DT1 Stores the amortization end date -1 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_END_DT2,ABA_AMORTIZE_END_DT2 Stores the amortization end date -2 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_END_DT3,ABA_AMORTIZE_END_DT3 Stores the amortization end date -3 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_END_DT4,ABA_AMORTIZE_END_DT4 Stores the amortization end date -4 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_END_DT5,ABA_AMORTIZE_END_DT5 Stores the amortization end date -5 for the balance and it is used for converting accounts from other system
API_ACCOUNT_BALANCES_AMORTIZE.ABA_DT,ABA_DT Amortization Date
API_ACCOUNT_BALANCES_AMORTIZE.ABA_AMORTIZE_START_DT,ABA_AMORTIZE_START_DT Stores the date on which amortization of the balance should start
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FIRST_AMORTIZE_DT,ABA_FIRST_AMORTIZE_DT Stores the first amortization date for the balance
API_ACCOUNT_BALANCES_AMORTIZE.CREATED_BY,CREATED_BY Standard Who
API_ACCOUNT_BALANCES_AMORTIZE.CREATION_DATE,CREATION_DATE Standard Who
