key,description
API_ASSETS.AVL_ADDONS_VAL,AVL_ADDONS_VAL Valuation of the addons that are with the asset
API_ASSETS.ATA_FTA_TABLE_ATTRIBUTE1,ATA_FTA_TABLE_ATTRIBUTE1 Name of the asset tracking attribute parameter 1
API_ASSETS.ATA_VALUE1,ATA_VALUE1 The value of the asset tracking attribute 1
API_ASSETS.ATA_FTA_TABLE_ATTRIBUTE2,ATA_FTA_TABLE_ATTRIBUTE2 Name of the asset tracking attribute parameter 2
API_ASSETS.ATA_VALUE2,ATA_VALUE2 The value of the asset tracking attribute 2
API_ASSETS.ATA_FTA_TABLE_ATTRIBUTE3,ATA_FTA_TABLE_ATTRIBUTE3 Name of the asset tracking attribute parameter 3
API_ASSETS.ATA_VALUE3,ATA_VALUE3 The value of the asset tracking attribute 3
API_ASSETS.ATA_FTA_TABLE_ATTRIBUTE4,ATA_FTA_TABLE_ATTRIBUTE4 Name of the asset tracking attribute parameter 4
API_ASSETS.ATA_VALUE4,ATA_VALUE4 The value of the asset tracking attribute 4
API_ASSETS.ATA_FTA_TABLE_ATTRIBUTE5,ATA_FTA_TABLE_ATTRIBUTE5 Name of the asset tracking attribute parameter 5
API_ASSETS.ATR_AAT_TYPE1,ATR_AAT_TYPE1 Reference key to the asset attribute type 1
API_ASSETS.ATR_VALUE1,ATR_VALUE1 The value of the asset attribute 1
API_ASSETS.ATR_AAT_TYPE2,ATR_AAT_TYPE2 Reference key to the asset attribute type 2
API_ASSETS.ATR_VALUE2,ATR_VALUE2 The value of the asset attribute 2
API_ASSETS.ATR_AAT_TYPE3,ATR_AAT_TYPE3 Reference key to the asset attribute type 3
API_ASSETS.ATR_VALUE3,ATR_VALUE3 The value of the asset attribute 3
API_ASSETS.ATR_AAT_TYPE4,ATR_AAT_TYPE4 Reference key to the asset attribute type 4
API_ASSETS.ATR_VALUE4,ATR_VALUE4 The value of the asset attribute 4
API_ASSETS.ATR_VALUE5,ATR_VALUE5 The value of the asset attribute 5
API_ASSETS.ATR_AAT_DESC1,ATR_AAT_DESC1 Stores description for attribute #1 and it is used for converting accounts from other system
API_ASSETS.ATR_AAT_DESC2,ATR_AAT_DESC2 Stores description for attribute #2 and it is used for converting accounts from other system
API_ASSETS.ATR_AAT_DESC3,ATR_AAT_DESC3 Stores description for attribute #3 and it is used for converting accounts from other system
API_ASSETS.ATR_AAT_DESC4,ATR_AAT_DESC4 Stores description for attribute #4 and it is used for converting accounts from other system
API_ASSETS.ATR_AAT_DESC5,ATR_AAT_DESC5 Stores description for attribute #5 and it is used for converting accounts from other system
API_ASSETS.ASE_COUNTRY_CD,ASE_COUNTRY_CD The country of the asset address
API_ASSETS.ASE_REPO_FORC_TYPE_CD,ASE_REPO_FORC_TYPE_CD Repo-Foreclosure type
API_ASSETS.ASE_REPO_FORC_DISPOSITION_CD,ASE_REPO_FORC_DISPOSITION_CD Repo-Foreclosure disposition code
API_ASSETS.ASE_REPO_FORC_DT,ASE_REPO_FORC_DT Repo-Foreclosure start date
API_ASSETS.ASE_REPO_FORC_FILE_RCVD_DT,ASE_REPO_FORC_FILE_RCVD_DT Repo-Foreclosure file received date
API_ASSETS.ASE_REPO_FORC_END_DT,ASE_REPO_FORC_END_DT Repo-Foreclosure end date
API_ASSETS.ASE_REPO_FORC_COMMENT,ASE_REPO_FORC_COMMENT Repo-Foreclosure comment
API_ASSETS.ASE_LEGAL_DESC,ASE_LEGAL_DESC The asset legal description
API_ASSETS.ASE_LOT,ASE_LOT The asset lot number
API_ASSETS.ASE_SUB_DIVISION,ASE_SUB_DIVISION The asset sub division
API_ASSETS.ASE_PARCEL_ID_NBR,ASE_PARCEL_ID_NBR The asset parcel identification number
API_ASSETS.ASE_METE_BONDS_IND,ASE_METE_BONDS_IND Indicates if asset is on a land where surveyed with the Metes and Bounds surveying system
API_ASSETS.ASE_FLOOD_ZONE_IND,ASE_FLOOD_ZONE_IND Identifies if asset is in flood zone
API_ASSETS.ASE_AGREEMENT_TYPE_CD,ASE_AGREEMENT_TYPE_CD Agreement type Code - Usage/Rental/Undefined.
API_ASSETS.ASE_AGREEMENT_TYPE_CD,ASE_AGREEMENT_TYPE_CD Agreement type Code - Usage/Rental/Undefined.
API_ASSETS.ASE_ASSOCIATION_CD,ASE_ASSOCIATION_CD Association code
API_ASSETS.ASE_BILLING_IND,ASE_BILLING_IND Billing Indicator
API_ASSETS.ASE_BILLING_POINTS,ASE_BILLING_POINTS Billing points
API_ASSETS.ASE_BUILDING_CD,ASE_BUILDING_CD Building code
API_ASSETS.ASE_CLUB_IND,ASE_CLUB_IND Club Indicator
API_ASSETS.ASE_CLUB_NAME_CD,ASE_CLUB_NAME_CD Club name code
API_ASSETS.ASE_DUE_AMT_ACCOUNT_TYPE_CD,ASE_DUE_AMT_ACCOUNT_TYPE_CD Due Amount account tye code
API_ASSETS.ASE_EXPIRED_IND,ASE_EXPIRED_IND Expired Indicator
API_ASSETS.ASE_EXPIRY_DT,ASE_EXPIRY_DT Expiry date
API_ASSETS.ASE_GRAND_FATHER_POINTS,ASE_GRAND_FATHER_POINTS Grandfather points
API_ASSETS.ASE_INVENTORY_SITE_CD,ASE_INVENTORY_SITE_CD Inventory site code
API_ASSETS.ASE_MASTER_CONS_POINT_IND,ASE_MASTER_CONS_POINT_IND Indicator to consolidate points at master account level
API_ASSETS.ASE_MEMBERSHIP_1_IND,ASE_MEMBERSHIP_1_IND Membership 1 Indicator
API_ASSETS.ASE_MEMBERSHIP_2_IND,ASE_MEMBERSHIP_2_IND Membership 2 Indicator
API_ASSETS.ASE_MEMBERSHIP_3_IND,ASE_MEMBERSHIP_3_IND Membership 3 Indicator
API_ASSETS.ASE_MEMBERSHIP_4_IND,ASE_MEMBERSHIP_4_IND Membership 4 Indicator
API_ASSETS.ASE_MEMBERSHIP_5_IND,ASE_MEMBERSHIP_5_IND Membership 5 Indicator
API_ASSETS.ASE_OTHER_ATR_10_DT,ASE_OTHER_ATR_10_DT Other attribute 10 date
API_ASSETS.ASE_OTHER_ATR_1_CD,ASE_OTHER_ATR_1_CD Other attribute 1 code
API_ASSETS.ASE_OTHER_ATR_2_CD,ASE_OTHER_ATR_2_CD Other attribute 2 code
API_ASSETS.ASE_OTHER_ATR_3_CD,ASE_OTHER_ATR_3_CD Other attribute 3 code
API_ASSETS.ASE_OTHER_ATR_4_CD,ASE_OTHER_ATR_4_CD Other attribute 4 code
API_ASSETS.ASE_OTHER_ATR_5_CD,ASE_OTHER_ATR_5_CD Other attribute 5 code
API_ASSETS.ASE_OTHER_ATR_6_DT,ASE_OTHER_ATR_6_DT Other attribute 6 date
API_ASSETS.ASE_OTHER_ATR_7_DT,ASE_OTHER_ATR_7_DT Other attribute 7 date
API_ASSETS.ASE_OTHER_ATR_8_DT,ASE_OTHER_ATR_8_DT Other attribute 8 date
API_ASSETS.ASE_OTHER_ATR_9_DT,ASE_OTHER_ATR_9_DT Other attribute 9 date
API_ASSETS.ASE_PHASE_NBR_CD,ASE_PHASE_NBR_CD Phase number code
API_ASSETS.ASE_PLUS_MEMBERSHIP_TYPE_IND,ASE_PLUS_MEMBERSHIP_TYPE_IND Plus membership type indicator
API_ASSETS.ASE_POINTS,ASE_POINTS Points
API_ASSETS.ASE_POINT_CONS_TYPE_CD,ASE_POINT_CONS_TYPE_CD Points consolidate type code
API_ASSETS.ASE_PRORATION_POINTS_IND,ASE_PRORATION_POINTS_IND Proration points Indicator
API_ASSETS.ASE_PR_MARKING_IND,ASE_PR_MARKING_IND PR marking Indicator
API_ASSETS.ASE_RESALE_IND,ASE_RESALE_IND Resale Indicator
API_ASSETS.ASE_RESORT_CD,ASE_RESORT_CD Resort code
API_ASSETS.ASE_SIGN_GRAND_FATHER_IND,ASE_SIGN_GRAND_FATHER_IND Sign grandfather Indicator
API_ASSETS.ASE_SUBSTITUTION_IND,ASE_SUBSTITUTION_IND Indicator specifying whether the asset is a substitute for a previous asset
API_ASSETS.ASE_TRADE_ELGIBLE_IND,ASE_TRADE_ELGIBLE_IND Trade eligible Indicator
API_ASSETS.ASE_TRAVEL_DT,ASE_TRAVEL_DT Travel date
API_ASSETS.ASE_UNIT_CD,ASE_UNIT_CD Unit code
API_ASSETS.ASE_UNIT_TYPE_CD,ASE_UNIT_TYPE_CD Unit type code
API_ASSETS.ASE_USAGE_START_DT,ASE_USAGE_START_DT Usage start date
API_ASSETS.ASE_USAGE_TYPE_CD,ASE_USAGE_TYPE_CD Usage type code
API_ASSETS.ASE_WEEK_CD,ASE_WEEK_CD Week code
API_ASSETS.ASE_BASE_RENT_AMT,ASE_BASE_RENT_AMT Base Rental Amount calculated in origination
API_ASSETS.ASE_CHARGE_CALC_METHOD_CD,ASE_CHARGE_CALC_METHOD_CD Charge caluclation method code for Tiered / Non Tiered.
API_ASSETS.ASE_DISCOUNT_AMT,ASE_DISCOUNT_AMT Discount Amount applicable for Rental Billing
API_ASSETS.ASE_DISCOUNT_PER,ASE_DISCOUNT_PER Discount Percentage
API_ASSETS.ASE_ELASTIC_TERM_CAL_METHOD_CD,ASE_ELASTIC_TERM_CAL_METHOD_CD Number of term by which the total units will be elapsed.
API_ASSETS.ASE_ELASTIC_USAGE_TERM,ASE_ELASTIC_USAGE_TERM Number of term by which the total units will be elapsed.
API_ASSETS.ASE_ESTIMATED_LIFE,ASE_ESTIMATED_LIFE Contains Estimated life of an Asset.
API_ASSETS.ASE_EXCESS_RENT_COL_METHOD_CD,ASE_EXCESS_RENT_COL_METHOD_CD Excess rent colculation method code for Actual/Average.
API_ASSETS.ASE_MAX_USAGE,ASE_MAX_USAGE Maximum units allowed per cycle.
API_ASSETS.ASE_MIN_USAGE,ASE_MIN_USAGE Minimum Usage
API_ASSETS.ASE_RESET_FREQUENCY,ASE_RESET_FREQUENCY Rollover/Advance units will expire at this frequency.
API_ASSETS.ASE_SECURITY_DEPOSIT_AMT,ASE_SECURITY_DEPOSIT_AMT Security deposite amount for Rental.
API_ASSETS.ASE_TERM_MAX_UNITS,ASE_TERM_MAX_UNITS Maximum units per term autocalculated value based on usage cycle and max units per cycle.
API_ASSETS.ASE_USAGE_BILL_CYCLE_CD,ASE_USAGE_BILL_CYCLE_CD Frequency code at which usage bill has be calculated.
API_ASSETS.ASE_USAGE_BILL_DT_LAST,ASE_USAGE_BILL_DT_LAST Usage bill last run date
API_ASSETS.ASE_USAGE_BILL_DT_NEXT,ASE_USAGE_BILL_DT_NEXT Next billing date for usage
API_ASSETS.ASE_USAGE_FEED_PATTERN_CD,ASE_USAGE_FEED_PATTERN_CD Usage feed pattern code for Actual/Incremental
API_ASSETS.ASE_USAGE_METHOD_CD,ASE_USAGE_METHOD_CD Usage method code for Usage/Rental
API_ASSETS.CREATED_BY,CREATED_BY Standard Who
API_ASSETS.CREATION_DATE,CREATION_DATE Standard Who
