OFSLL Field Mapping for Conversion,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Source Details,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
BAT_VALUE3,VARCHAR2,,N,Attribute value ,,,,,,,,Y,Y,Y
BAT_VALUE4,VARCHAR2,,N,Attribute value ,,,,,,,,Y,Y,Y
BAT_VALUE5,VARCHAR2,,N,Attribute value ,,,,,,,,Y,Y,Y
BAT_VALUE6,VARCHAR2,,N,Attribute value ,,,,,,,,Y,Y,Y
BAT_VALUE7,VARCHAR2,,N,Attribute value ,,,,,,,,Y,Y,Y
BAT_VALUE8,VARCHAR2,,N,Attribute value ,,,,,,,,Y,Y,Y
BAT_VALUE9,VARCHAR2,,N,Attribute value ,,,,,,,,Y,Y,Y
BSD_BANKRUPTCY_IND,VARCHAR2,,N,Indicates if the Business applicant bankruptcy is  enabled are not  ,,,,,,,,Y,Y,Y
BSD_BUSINESS_CATEGORY_CD,VARCHAR2,,N,The category of business applicant details,,,,,,,,Y,Y,Y
BSD_BUS_ID,NUMBER,,Y,system generated unique  reference  id,,,,,,,,Y,Y,Y
BSD_COMMENTS,VARCHAR2,,N,Business applicant comments,,,,,,,,Y,Y,Y
BSD_CREDIT_SCORE,NUMBER,,N,Credit score for Business Applicant,,,,,,,,Y,Y,Y
BSD_CREDIT_SCORE_RECEIVED_DT,DATE,,N,Credit score received date for Business Applicant,,,,,,,,Y,Y,Y
BSD_CREDIT_SOURCE_CD,VARCHAR2,,N,Business applicants credit source code,,,,,,,,Y,Y,Y
BSD_CRED_LIMIT_EXPIRY_DT,DATE,,Y,Business applicant credit limit expiry date,,,,,,,,Y,Y,Y
BSD_CRED_LIMIT_GRADE_CD,VARCHAR2,,N,Reference key to lookup business applicant credit limit grade code,,,,,,,,Y,Y,Y
BSD_CRED_LIMIT_MAX_AMT,NUMBER,,Y,Business applicant maximum credit limit amount,,,,,,,,Y,Y,Y
BSD_CRED_LIMIT_MAX_LC_RATE,NUMBER,,Y,Business applicant credit limit maximum late charge,,,,,,,,Y,Y,Y
BSD_CRED_LIMIT_RENEW_DT,DATE,,Y,Business applicant credit limit renew date,,,,,,,,Y,Y,Y
BSD_CUR_AVG_CHECKING_BALANCE,NUMBER,,N,Stores the Average Checking Balance of business,,,,,,,,Y,Y,Y
BSD_CUR_CURRENCY_CODE,VARCHAR2,,N,Reference key to Currency,CURRENCY_CD,,,,,,,Y,Y,Y
BSD_EMAIL,VARCHAR2,,N,Email address of Business Applicant,,,,,,,,Y,Y,Y
BSD_INSURANCE_OPT_OUT_IND,VARCHAR2,,N,Business Applicant Insurance Opt Out Indicator ,,,,,,,,Y,Y,Y
BSD_LIAB_NBR,VARCHAR2,,N,Liability number for  Api_business_appl_details,,,,,,,,Y,Y,Y
BSD_MARKETING_OPT_OUT_IND,VARCHAR2,,N,Business Applicant Marketing Opt Out Indicator,,,,,,,,Y,Y,Y
BSD_PRIOR_BUSINESS_IND,VARCHAR2,,Y,Indicates whether the  priority business  is allowed,,,,,,,,Y,Y,Y
BSD_PRIVACY_OPT_OUT_IND,VARCHAR2,,N,Indicates if Business Applicant has opted out to share privacy information,,,,,,,,Y,Y,Y
BSD_REASON_CD,VARCHAR2,,N,Business Applicant reason code reference to lookup,,,,,,,,Y,Y,Y
BSD_REFERENCE_NBR,VARCHAR2,,N,Reference number for business applicant,,,,,,,,Y,Y,Y
BSD_SHARE_CR_OPT_OUT_IND,VARCHAR2,,N,Business Applicant Share Credit Opt Out Indicator,,,,,,,,Y,Y,Y
BSD_SKIP_IND,VARCHAR2,,N,Indicates if current Business Address for customer is not valid,,,,,,,,Y,Y,Y
BSD_STOP_CORR_IND,VARCHAR2,,N,Indicates if Business Applicant correspondence must be stopped ,,,,,,,,Y,Y,Y
BSD_UPDATE_BUSINESS_INFO_IND,VARCHAR2,,N,Business Applicant override indicator,,,,,,,,Y,Y,Y
BSD_UTILIZATION_PERC,NUMBER,,Y,Business applicant credit limit utilization percentage,,,,,,,,Y,Y,Y
