key,description
API_ACCOUNT_BALANCES.ABL_BAL_PD_CTD,ABL_BAL_PD_CTD Balance paid (CTD) in the current cycle
API_ACCOUNT_BALANCES.ABL_BAL_WAIVED_CTD,ABL_BAL_WAIVED_CTD Balance waived (CTD) in the current cycle
API_ACCOUNT_BALANCES.ABL_BAL_CHGOFF_OPEN_CTD,ABL_BAL_CHGOFF_OPEN_CTD Opening Charged off balance (CTD) for the current cycle
API_ACCOUNT_BALANCES.ABL_BAL_CHGOFF_CTD,ABL_BAL_CHGOFF_CTD Charged off balance (CTD) for the current cycle
API_ACCOUNT_BALANCES.ABL_BAL_RECOVERED_CTD,ABL_BAL_RECOVERED_CTD Balance recovered (CTD) in the current year
API_ACCOUNT_BALANCES.ABL_BAL_ADJUSTED_PLUS_CTD,ABL_BAL_ADJUSTED_PLUS_CTD Positive adjustment balance (CTD) for the current cycle
API_ACCOUNT_BALANCES.ABL_BAL_ADJUSTED_MINUS_CTD,ABL_BAL_ADJUSTED_MINUS_CTD Negative adjustment balance (CTD) for the current cycle
API_ACCOUNT_BALANCES.ABL_BAL_OPEN_YTD,ABL_BAL_OPEN_YTD Opening balance (YTD) for the current year
API_ACCOUNT_BALANCES.ABL_BAL_YTD,ABL_BAL_YTD Posted balance (YTD) for the current year
API_ACCOUNT_BALANCES.ABL_BAL_PD_YTD,ABL_BAL_PD_YTD Balance paid(YTD) in the current year
API_ACCOUNT_BALANCES.ABL_BAL_WAIVED_YTD,ABL_BAL_WAIVED_YTD Balance waived (YTD) in the current year
API_ACCOUNT_BALANCES.ABL_BAL_CHGOFF_OPEN_YTD,ABL_BAL_CHGOFF_OPEN_YTD Opening Charged off balance (YTD) for the current year
API_ACCOUNT_BALANCES.ABL_BAL_CHGOFF_YTD,ABL_BAL_CHGOFF_YTD Charged off balance (YTD) for the current year
API_ACCOUNT_BALANCES.ABL_BAL_RECOVERED_YTD,ABL_BAL_RECOVERED_YTD Balance recovered (YTD) in the current year
API_ACCOUNT_BALANCES.ABL_BAL_ADJUSTED_PLUS_YTD,ABL_BAL_ADJUSTED_PLUS_YTD Positive adjustment balance (YTD) for the current year
API_ACCOUNT_BALANCES.ABL_BAL_ADJUSTED_MINUS_YTD,ABL_BAL_ADJUSTED_MINUS_YTD Negative adjustment balance (YTD) for the current year
API_ACCOUNT_BALANCES.ABL_BAL_BILLED_IND,ABL_BAL_BILLED_IND Indicates whether the balance is billable
API_ACCOUNT_BALANCES.ABL_INTEREST_ACCRUED_IND,ABL_INTEREST_ACCRUED_IND Indicates whether interest is accruable
API_ACCOUNT_BALANCES.ABL_CHARGEOFF_METHOD_CD,ABL_CHARGEOFF_METHOD_CD Reference key to lookup chargeoff method
API_ACCOUNT_BALANCES.ABL_RESCHEDULE_METHOD_CD,ABL_RESCHEDULE_METHOD_CD Reference key to lookup reschedule method
API_ACCOUNT_BALANCES.ABL_WRITEOFF_METHOD_CD,ABL_WRITEOFF_METHOD_CD Reference key to lookup writeoff method
API_ACCOUNT_BALANCES.ABL_BAL_OPEN_CTD1,ABL_BAL_OPEN_CTD1 Opening balance (CTD) for the previous cycle
API_ACCOUNT_BALANCES.ABL_BAL_CTD1,ABL_BAL_CTD1 Posted balance (CTD) for the previous cycle
API_ACCOUNT_BALANCES.ABL_BAL_PD_CTD1,ABL_BAL_PD_CTD1 Balance paid(CTD) in the previous cycle
API_ACCOUNT_BALANCES.ABL_BAL_WAIVED_CTD1,ABL_BAL_WAIVED_CTD1 Balance waived (CTD) in the previous cycle
API_ACCOUNT_BALANCES.ABL_BAL_CHGOFF_OPEN_CTD1,ABL_BAL_CHGOFF_OPEN_CTD1 Opening Charged off balance (CTD) for the previous cycle
API_ACCOUNT_BALANCES.ABL_BAL_CHGOFF_CTD1,ABL_BAL_CHGOFF_CTD1 Charged off balance (CTD) for the previous cycle
API_ACCOUNT_BALANCES.ABL_BAL_RECOVERED_CTD1,ABL_BAL_RECOVERED_CTD1 Balance recovered (CTD) in the previous year
API_ACCOUNT_BALANCES.ABL_BAL_ADJUSTED_PLUS_CTD1,ABL_BAL_ADJUSTED_PLUS_CTD1 Positive adjustment balance (CTD) for the previous cycle
API_ACCOUNT_BALANCES.ABL_BAL_ADJUSTED_MINUS_CTD1,ABL_BAL_ADJUSTED_MINUS_CTD1 Negative adjustment balance (CTD) for the previous cycle
API_ACCOUNT_BALANCES.ABL_BAL_OPEN_YTD1,ABL_BAL_OPEN_YTD1 Opening balance (YTD) for the previous year
API_ACCOUNT_BALANCES.ABL_BAL_YTD1,ABL_BAL_YTD1 Posted balance (YTD) for the previous year
API_ACCOUNT_BALANCES.ABL_BAL_PD_YTD1,ABL_BAL_PD_YTD1 Balance paid(YTD) in the previous year
API_ACCOUNT_BALANCES.ABL_BAL_WAIVED_YTD1,ABL_BAL_WAIVED_YTD1 Balance waived (YTD) in the previous year
API_ACCOUNT_BALANCES.ABL_BAL_CHGOFF_OPEN_YTD1,ABL_BAL_CHGOFF_OPEN_YTD1 Opening Charged off balance (YTD) for the previous year
API_ACCOUNT_BALANCES.ABL_BAL_CHGOFF_YTD1,ABL_BAL_CHGOFF_YTD1 Charged off balance (YTD) for the previous year
API_ACCOUNT_BALANCES.ABL_BAL_RECOVERED_YTD1,ABL_BAL_RECOVERED_YTD1 Balance recovered (YTD) in the previous year
API_ACCOUNT_BALANCES.ABL_BAL_ADJUSTED_PLUS_YTD1,ABL_BAL_ADJUSTED_PLUS_YTD1 Positive adjustment balance (YTD) for the previous year
API_ACCOUNT_BALANCES.ABL_BAL_ADJUSTED_MINUS_YTD1,ABL_BAL_ADJUSTED_MINUS_YTD1 Negative adjustment balance (YTD) for the previous year
API_ACCOUNT_BALANCES.ABL_BILL_METHOD_CD,ABL_BILL_METHOD_CD Reference key to lookup billing method
API_ACCOUNT_BALANCES.ABL_PMT_AMT,ABL_PMT_AMT Promotional balance billing payment amount
API_ACCOUNT_BALANCES.ABL_PMT_PER,ABL_PMT_PER Promotional balance billing payment percentage
